,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
"Countries, territories and areas", 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years
Benin,3.0,178.2,3.0,3.6,212.5,3.6,4.5,268.3,4.5,5.3,312.6,5.3,6.2,363.0,6.2,7.4,434.3,7.4,9.2,540.1,9.2,9.5,561.0,9.5,9.5,558.8,9.5,10.2,600.7,10.2,10.3,605.3,10.3,10.6,626.3,10.6,12.8,754.5,12.8,13.9,821.3,13.9,14.5,855.4,14.5,14.6,860.7,14.6,14.6,860.5,14.6,14.6,858.9,14.6,14.5,854.3,14.5,14.4,847.0,14.4,14.2,839.0,14.2,14.0,826.1,14.0
Bhutan,0.0,1.1,0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,1.2,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,2.0,0.0,0.0,2.1,0.0,0.0,1.4,0.0,0.0,2.1,0.0,0.0,2.1,0.0,0.0,2.8,0.0,0.0,2.8,0.0,0.1,3.5,0.1,0.1,3.5,0.1,0.1,3.4,0.1,0.1,3.3,0.1,0.1,3.2,0.1,0.1,3.1,0.1,0.1,3.1,0.1,0.0,2.4,0.0,0.0,2.4,0.0
Bolivia (Plurinational State of),0.2,13.3,0.2,0.2,12.2,0.2,0.2,12.3,0.2,0.2,14.2,0.2,0.3,16.7,0.3,0.4,24.4,0.4,0.5,30.2,0.5,0.6,32.6,0.6,0.6,35.6,0.6,0.6,37.5,0.6,0.7,43.0,0.7,0.8,47.8,0.8,0.9,55.8,0.9,1.0,61.0,1.0,1.1,64.7,1.1,1.2,68.7,1.2,1.2,72.4,1.2,1.3,75.5,1.3,1.3,78.6,1.3,1.4,81.1,1.4,1.4,83.0,1.4,1.4,83.9,1.4
Bosnia and Herzegovina,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,1.6,93.1,1.6,1.9,109.9,1.9,1.9,114.4,1.9,1.9,112.0,1.9,1.6,93.7,1.6,3.4,202.7,3.4,3.6,215.1,3.6,4.3,254.4,4.3,4.0,235.7,4.0,5.8,343.3,5.8,9.2,545.6,9.2,8.8,518.2,8.8,11.0,647.8,11.0,13.6,804.0,13.6,14.6,858.5,14.6,16.2,954.3,16.2,19.3,1139.7,19.3,22.2,1309.3,22.2,22.9,1353.0,22.9,23.4,1380.5,23.4,24.5,1445.4,24.5,25.0,1476.3,25.0
Brazil,2.2,50.5,2.2,2.3,52.8,2.3,2.4,54.0,2.4,2.5,53.3,2.5,1.9,53.5,1.9,3.4,43.1,3.4,2.3,68.2,2.3,0.0,63.7,0.0,0.0,93.9,0.0,0.0,105.5,0.0,0.0,77.8,0.0,1.3,123.6,1.3,0.0,100.1,0.0,2.6,157.5,2.6,8.2,148.9,8.2,2.8,193.9,2.8,1.4,188.1,1.4,4.4,219.1,4.4,0.0,305.1,0.0,7.8,354.2,7.8,6.6,468.4,6.6,1.8,525.1,1.8
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,2.6,153.0,2.6,2.9,173.9,2.9,3.1,185.8,3.1,3.1,182.6,3.1,3.9,229.7,3.9,4.8,283.8,4.8,6.6,390.0,6.6,8.6,508.8,8.6,10.1,593.5,10.1,10.8,634.3,10.8,11.4,675.1,11.4,12.2,717.6,12.2,15.9,939.3,15.9,17.8,1052.7,17.8,18.9,1115.0,18.9,20.9,1235.0,20.9,22.5,1324.8,22.5,23.8,1406.7,23.8,25.4,1498.1,25.4,27.1,1599.6,27.1,28.7,1695.4,28.7,30.3,1787.2,30.3
Burundi,3.7,215.4,3.7,3.5,204.8,3.5,3.4,198.1,3.4,3.3,196.0,3.3,3.7,215.6,3.7,4.2,246.4,4.2,6.0,354.1,6.0,7.3,432.0,7.3,8.1,475.5,8.1,9.7,570.4,9.7,10.6,626.8,10.6,12.2,719.3,12.2,14.8,873.3,14.8,16.1,952.0,16.1,18.2,1071.4,18.2,19.7,1164.9,19.7,21.9,1294.3,21.9,24.1,1421.9,24.1,25.9,1528.5,25.9,27.4,1618.4,27.4,28.9,1704.1,28.9,30.3,1788.9,30.3
